issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
20250502,2025-05-02,3,5,19,21,49,1,10,0,97254382
20250506,2025-05-06,8,23,24,47,48,4,9,0,108197286
20250509,2025-05-09,15,18,25,29,47,5,9,0,123011264
20250513,2025-05-13,9,19,44,47,50,2,9,0,135332717
20250516,2025-05-16,6,9,25,37,46,6,12,0,151408194
20250520,2025-05-20,1,8,13,29,47,5,6,0,164911120
20250523,2025-05-23,10,29,43,46,49,7,12,0,182346242
20250527,2025-05-27,12,30,38,40,41,4,12,0,198011280
20250530,2025-05-30,4,7,14,33,36,1,5,0,218316096
20250603,2025-06-03,12,15,38,47,48,5,7,0,238816942
20250606,2025-06-06,20,21,29,30,35,2,12,0,250000000
20250610,2025-06-10,19,36,39,40,45,5,6,0,250000000
20250613,2025-06-13,2,28,40,43,45,3,7,0,250000000
20250617,2025-06-17,13,22,23,44,49,3,5,0,250000000
20250620,2025-06-20,5,8,24,37,47,3,9,0,17000000
20250624,2025-06-24,7,16,21,23,39,7,11,0,26938273
20250627,2025-06-27,19,27,36,45,49,7,10,0,40322654
20250701,2025-07-01,1,17,28,32,34,7,8,0,51016731
20250704,2025-07-04,19,29,42,45,48,5,7,0,64874337
20250708,2025-07-08,1,8,9,18,50,1,5,0,74533673
20250711,2025-07-11,8,23,24,45,49,2,10,0,86799585
20250715,2025-07-15,24,38,41,45,49,1,6,0,96858365
20250718,2025-07-18,13,19,25,42,45,2,9,0,111646530
20250722,2025-07-22,8,15,26,33,41,9,10,0,123233143
20250725,2025-07-25,6,7,23,32,36,11,12,0,137766680
20250729,2025-07-29,5,6,42,44,46,4,8,0,150232733
20250801,2025-08-01,4,16,25,29,30,2,10,0,166241768
20250805,2025-08-05,1,3,5,42,47,5,10,0,179818189
20250808,2025-08-08,2,12,19,34,44,6,10,0,197504622
20250812,2025-08-12,18,28,42,46,48,3,9,0,213114756
20250815,2025-08-15,13,30,35,36,40,2,6,0,232174804
20250819,2025-08-19,24,31,34,41,43,6,8,0,250000000
20250822,2025-08-22,6,9,12,30,39,4,10,0,17000000
20250826,2025-08-26,2,14,38,42,45,10,11,0,26800624
20250829,2025-08-29,6,9,10,13,37,1,7,0,40112808
20250902,2025-09-02,13,30,31,32,36,1,12,0,51026993
20250905,2025-09-05,27,30,31,41,43,5,8,0,65278573
20250909,2025-09-09,3,13,24,39,40,2,8,0,17000000
20250912,2025-09-12,5,10,23,31,37,3,11,0,29758912
20250916,2025-09-16,1,9,13,35,40,5,6,0,39929184
20250919,2025-09-19,8,10,26,32,42,9,12,0,53344251
20250923,2025-09-23,11,13,24,29,33,2,5,0,64176450
20250926,2025-09-26,4,17,25,28,44,5,11,0,130000000
20250930,2025-09-30,3,8,15,17,48,2,8,0,17000000
20251003,2025-10-03,6,12,18,25,41,2,6,0,29922038
20251007,2025-10-07,24,39,42,43,48,5,8,0,17000000
20251010,2025-10-10,6,7,17,20,21,1,10,0,29671390
20251014,2025-10-14,5,8,14,16,18,3,10,0,17000000
20251017,2025-10-17,13,35,39,44,47,3,5,0,29398730
20251021,2025-10-21,5,24,29,40,42,6,12,0,39082377
20251024,2025-10-24,7,8,25,31,45,7,12,0,52225106
20251028,2025-10-28,7,8,24,35,49,2,12,0,62577973
20251031,2025-10-31,5,14,38,43,45,7,11,0,75635350
20251104,2025-11-04,6,9,25,28,45,1,4,0,85169986
20251107,2025-11-07,11,21,39,40,43,2,8,0,98027155
20251111,2025-11-11,4,22,32,36,47,2,10,0,108416075
20251114,2025-11-14,9,26,27,45,48,8,9,0,122611491
20251118,2025-11-18,2,4,15,21,48,6,12,0,134404955
20251121,2025-11-21,17,19,29,35,48,5,9,0,149510047
20251125,2025-11-25,6,11,17,35,44,3,7,0,162134413
20251128,2025-11-28,5,29,33,39,42,3,9,0,178656733
20251202,2025-12-02,4,13,14,20,41,6,12,0,17000000
20251205,2025-12-05,9,15,25,34,46,8,12,0,130000000
20251209,2025-12-09,2,8,13,29,49,2,11,0,142433804
20251212,2025-12-12,7,25,30,37,41,5,11,0,17000000
20251216,2025-12-16,14,16,40,41,44,2,10,0,17000000
20251219,2025-12-19,17,21,39,43,44,1,11,0,29984493
20251223,2025-12-23,8,26,27,29,44,11,12,0,41432000
20251226,2025-12-26,12,22,32,36,48,3,4,0,54026007
20251230,2025-12-30,11,26,29,34,44,1,10,0,17000000
20260102,2026-01-02,8,27,42,44,46,1,10,0,30879489
20260106,2026-01-06,5,14,17,18,31,10,12,0,40421786
20260109,2026-01-09,1,7,10,26,34,2,4,0,53787880
20260113,2026-01-13,6,10,18,44,47,2,10,0,64537877
20260116,2026-01-16,5,17,24,29,50,5,10,0,77334734
20260120,2026-01-20,11,18,19,22,50,1,11,0,86841907
20260123,2026-01-23,4,5,13,21,42,3,10,0,99679548
20260127,2026-01-27,4,23,42,43,47,3,9,0,109599909
20260130,2026-01-30,14,18,31,35,46,7,11,0,123555827
20260203,2026-02-03,26,27,28,34,37,4,9,0,17000000
20260206,2026-02-06,10,13,20,23,24,6,11,0,29158205
20260210,2026-02-10,1,17,19,34,42,5,8,0,38673992
20260213,2026-02-13,9,13,31,37,40,6,9,0,53818195
20260217,2026-02-17,1,4,6,10,41,5,12,0,64273805
20260220,2026-02-20,13,24,28,33,35,5,9,0,130000000
20260224,2026-02-24,10,27,40,43,47,6,10,0,142871092
20260227,2026-02-27,14,24,27,39,42,6,10,0,159922317
20260303,2026-03-03,6,7,24,34,50,5,7,0,174135421
20260306,2026-03-06,15,16,19,28,37,6,9,0,192898115
20260310,2026-03-10,12,14,27,44,50,4,12,0,209527211
20260313,2026-03-13,13,17,26,41,48,4,10,0,17000000
20260317,2026-03-17,5,17,28,33,41,3,9,0,26669837
20260320,2026-03-20,5,12,16,37,46,8,10,0,39347116
20260324,2026-03-24,12,16,17,18,27,1,3,0,49282215
20260327,2026-03-27,4,10,43,44,48,2,4,0,62831919
20260331,2026-03-31,5,8,10,33,38,2,7,0,71981309
20260403,2026-04-03,8,27,29,46,49,2,10,0,83409094
20260407,2026-04-07,11,14,19,36,49,6,7,0,92558766
20260410,2026-04-10,10,13,14,38,41,6,9,0,105639575
20260414,2026-04-14,1,2,4,28,44,5,12,0,116712657
20260417,2026-04-17,22,23,28,41,47,6,8,0,132281196
20260421,2026-04-21,13,16,29,40,47,3,4,0,144525198
20260424,2026-04-24,25,26,30,40,45,1,5,0,17000000
20260428,2026-04-28,26,29,41,46,47,8,9,0,26211265
20260501,2026-05-01,3,9,42,46,47,1,11,0,39355091
20260505,2026-05-05,3,4,8,20,31,6,8,0,49453599
20260508,2026-05-08,2,17,19,34,37,8,11,0,62875957
20260512,2026-05-12,4,26,32,35,36,5,7,0,71851521
20260515,2026-05-15,3,10,38,41,43,2,9,0,83287333
20260519,2026-05-19,2,12,20,38,45,2,5,0,92722477
20260522,2026-05-22,6,22,26,31,37,5,8,0,105432709
20260526,2026-05-26,6,23,25,35,37,6,12,0,115489593
20260529,2026-05-29,5,14,18,31,35,2,12,0,129806398
20260602,2026-06-02,6,9,17,18,42,7,9,0,142961067
20260605,2026-06-05,5,6,16,17,49,2,12,0,160606603
20260609,2026-06-09,2,7,23,44,46,3,5,0,174984088
20260612,2026-06-12,4,7,14,22,23,1,7,0,17000000
20260616,2026-06-16,18,25,31,37,45,4,9,0,26335225
20260619,2026-06-19,8,34,39,41,42,2,7,0,38328110
20260623,2026-06-23,3,33,36,45,46,5,6,0,47884520
20260626,2026-06-26,6,16,26,34,35,11,12,0,60301678
20260630,2026-06-30,1,8,37,44,48,2,6,0,68943918
20260703,2026-07-03,2,12,17,25,39,1,2,0,80220498
20260707,2026-07-07,5,29,33,45,47,5,8,0,17000000
20260710,2026-07-10,2,14,28,33,48,8,10,0,28471142
20260714,2026-07-14,10,19,37,42,47,9,12,0,37595911
20260717,2026-07-17,12,21,23,34,40,9,10,0,49675417
20260721,2026-07-21,2,3,8,28,39,2,11,0,59257960
20260724,2026-07-24,8,10,30,36,47,1,4,0,69648921
20260728,2026-07-28,5,7,24,30,49,10,11,0,78058189
20260731,2026-07-31,10,24,25,31,45,4,5,0,89099379
